Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily,Subanalysis
Leucochloron,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Libidibia,No,n/a,Yes,Caesalpinioideae,other_Cae
Lophocarpinia,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Lysiloma,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Macrosamanea,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mariosousa,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Melanoxylon,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Mezoneuron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Microlobius,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mimosa,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Mimozyganthus,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Moldenhawera,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Mora,No,n/a,Yes,Caesalpinioideae,other_Cae
Moullava,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Neptunia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Newtonia,No,n/a,Yes,Caesalpinioideae,other_Cae
Pachyelasma,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Painteria,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Parapiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pararchidendron,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Parasenegalia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Paraserianthes,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Parkia,No,n/a,Yes,Caesalpinioideae,other_Cae
Parkinsonia,No,n/a,Yes,Caesalpinioideae,other_Cae
Paubrasilia,No,n/a,Yes,Caesalpinioideae,other_Cae
Peltophorum,No,n/a,Yes,Caesalpinioideae,Mimosoid
Pentaclethra,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadeniastrum,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Piptadeniopsis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Pithecellobium,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pityrocarpa,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Plathymenia,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Pomaria,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Prosopidastrum,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Prosopis,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pseudopiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Pseudoprosopis,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Pseudosamanea,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Pterogyne,No,n/a,Yes,Caesalpinioideae,other_Cae
Pterolobium,No,n/a,Yes,Caesalpinioideae,other_Cae
Recordoxylon,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Samanea,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Schizolobium,No,n/a,Yes,Caesalpinioideae,Mimosoid
Schleinitzia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Senegalia,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Senna,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Serianthes,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Stachyothyrsus,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Stenodrepanum,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Stryphnodendron,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Stuhlmannia,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Sympetalandra,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Tachigali,Yes,Rhizobial,Yes,Caesalpinioideae,other_Cae
Tara,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Tetrapleura,No,n/a,Yes,Caesalpinioideae,other_Cae
Tetrapterocarpon,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Thailentadopsis,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Umtiza,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Vachellia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Viguieranthus,Unknown,n/a,Yes,Caesalpinioideae,other_Cae
Vouacapoua,No,n/a,Yes,Caesalpinioideae,Mimosoid
Wallaceodendron,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Xerocladia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Xylia,Yes,Rhizobial,Yes,Caesalpinioideae,Mimosoid
Zapoteca,No,n/a,Yes,Caesalpinioideae,other_Cae
Zuccagnia,Unknown,n/a,Yes,Caesalpinioideae,Mimosoid
Zygia,Yes,Rhizobial,Yes,Caesalpinioideae,Cercidoideae
Adenolobus,No,n/a,Yes,Cercidoideae,Cercidoideae
Barklya,No,n/a,Yes,Cercidoideae,Cercidoideae
Bauhinia,No,n/a,Yes,Cercidoideae,Cercidoideae
Brenierea,No,n/a,Yes,Cercidoideae,Cercidoideae
Cercis,No,n/a,Yes,Cercidoideae,Cercidoideae
Cheniella,No,n/a,Yes,Cercidoideae,Cercidoideae
Gigasiphon,No,n/a,Yes,Cercidoideae,Cercidoideae
Griffonia,No,n/a,Yes,Cercidoideae,Cercidoideae
Lasiobema,No,n/a,Yes,Cercidoideae,Cercidoideae
Lysiphyllum,No,n/a,Yes,Cercidoideae,Cercidoideae
Phanera,No,n/a,Yes,Cercidoideae,Cercidoideae
Piliostigma,No,n/a,Yes,Cercidoideae,Cercidoideae
Schnella,No,n/a,Yes,Cercidoideae,Cercidoideae
Tylosema,No,n/a,Yes,Cercidoideae,Detarioideae
Afzelia,No,n/a,Yes,Detarioideae,Detarioideae
Amherstia,No,n/a,Yes,Detarioideae,Detarioideae
Annea,No,n/a,Yes,Detarioideae,Detarioideae
Anthonotha,No,n/a,Yes,Detarioideae,Detarioideae
Aphanocalyx,No,n/a,Yes,Detarioideae,Detarioideae
Augouardia,No,n/a,Yes,Detarioideae,Detarioideae
Baikiaea,No,n/a,Yes,Detarioideae,Detarioideae
Barnebydendron,No,n/a,Yes,Detarioideae,Detarioideae
Berlinia,No,n/a,Yes,Detarioideae,Detarioideae
Bikinia,No,n/a,Yes,Detarioideae,Detarioideae
Brachycylix,No,n/a,Yes,Detarioideae,Detarioideae
Brachystegia,No,n/a,Yes,Detarioideae,Detarioideae
Brandzeia,No,n/a,Yes,Detarioideae,Detarioideae
Brodriguesia,No,n/a,Yes,Detarioideae,Detarioideae
Brownea,No,n/a,Yes,Detarioideae,Detarioideae
Browneopsis,No,n/a,Yes,Detarioideae,Detarioideae
Colophospermum,No,n/a,Yes,Detarioideae,Detarioideae
Copaifera,No,n/a,Yes,Detarioideae,Detarioideae
Crudia,No,n/a,Yes,Detarioideae,Detarioideae
Cryptosepalum,No,n/a,Yes,Detarioideae,Detarioideae
Cynometra,No,n/a,Yes,Detarioideae,Detarioideae
Daniellia,No,n/a,Yes,Detarioideae,Detarioideae
Detarium,No,n/a,Yes,Detarioideae,Detarioideae
Dicymbe,No,n/a,Yes,Detarioideae,Detarioideae
Didelotia,No,n/a,Yes,Detarioideae,Detarioideae
Ecuadendron,No,n/a,Yes,Detarioideae,Detarioideae
Elizabetha,No,n/a,Yes,Detarioideae,Detarioideae
Endertia,No,n/a,Yes,Detarioideae,Detarioideae
Englerodendron,No,n/a,Yes,Detarioideae,Detarioideae
Eperua,No,n/a,Yes,Detarioideae,Detarioideae
Eurypetalum,No,n/a,Yes,Detarioideae,Detarioideae
Gabonius,No,n/a,Yes,Detarioideae,Detarioideae
Gilbertiodendron,No,n/a,Yes,Detarioideae,Detarioideae
Gilletiodendron,No,n/a,Yes,Detarioideae,Detarioideae
Goniorrhachis,No,n/a,Yes,Detarioideae,Detarioideae
Guibourtia,No,n/a,Yes,Detarioideae,Detarioideae
Hardwickia,No,n/a,Yes,Detarioideae,Detarioideae
Heterostemon,No,n/a,Yes,Detarioideae,Detarioideae
Humboldtia,No,n/a,Yes,Detarioideae,Detarioideae
Hylodendron,No,n/a,Yes,Detarioideae,Detarioideae
Hymenaea,No,n/a,Yes,Detarioideae,Detarioideae
Hymenostegia,No,n/a,Yes,Detarioideae,Detarioideae
Icuria,No,n/a,Yes,Detarioideae,Detarioideae
Intsia,No,n/a,Yes,Detarioideae,Detarioideae
Isoberlinia,No,n/a,Yes,Detarioideae,Detarioideae
Isomacrolobium,No,n/a,Yes,Detarioideae,Detarioideae
Julbernardia,No,n/a,Yes,Detarioideae,Detarioideae
Kingiodendron,No,n/a,Yes,Detarioideae,Detarioideae
Lebruniodendron,No,n/a,Yes,Detarioideae,Detarioideae
Leonardoxa,No,n/a,Yes,Detarioideae,Detarioideae
Librevillea,No,n/a,Yes,Detarioideae,Detarioideae
Loesenera,No,n/a,Yes,Detarioideae,Detarioideae
Lysidice,No,n/a,Yes,Detarioideae,Detarioideae
Macrolobium,No,n/a,Yes,Detarioideae,Detarioideae
Maniltoa,No,n/a,Yes,Detarioideae,Detarioideae
Neoapaloxylon,No,n/a,Yes,Detarioideae,Detarioideae
Neochevalierodendron,No,n/a,Yes,Detarioideae,Detarioideae
Normandiodendron,No,n/a,Yes,Detarioideae,Detarioideae
Oddoniodendron,No,n/a,Yes,Detarioideae,Detarioideae
Oxystigma,No,n/a,Yes,Detarioideae,Detarioideae
Paloue,No,n/a,Yes,Detarioideae,Detarioideae
Paloveopsis,No,n/a,Yes,Detarioideae,Detarioideae
Paramacrolobium,No,n/a,Yes,Detarioideae,Detarioideae
Peltogyne,No,n/a,Yes,Detarioideae,Detarioideae
Plagiosiphon,No,n/a,Yes,Detarioideae,Detarioideae
Polystemonanthus,No,n/a,Yes,Detarioideae,Detarioideae
Prioria,No,n/a,Yes,Detarioideae,Detarioideae
Saraca,No,n/a,Yes,Detarioideae,Detarioideae
Schotia,No,n/a,Yes,Detarioideae,Detarioideae
Scorodophloeus,No,n/a,Yes,Detarioideae,Detarioideae
Sindora,No,n/a,Yes,Detarioideae,Detarioideae
Sindoropsis,No,n/a,Yes,Detarioideae,Detarioideae
Stemonocoleus,No,n/a,Yes,Detarioideae,Detarioideae
Talbotiella,No,n/a,Yes,Detarioideae,Detarioideae
Tamarindus,No,n/a,Yes,Detarioideae,Detarioideae
Tessmannia,No,n/a,Yes,Detarioideae,Detarioideae
Tetraberlinia,No,n/a,Yes,Detarioideae,Detarioideae
Zenkerella,No,n/a,Yes,Detarioideae,Dial-Dup
Androcalymma,No,n/a,Yes,Dialioideae,Dial-Dup
Apuleia,No,n/a,Yes,Dialioideae,Dial-Dup
Baudouinia,No,n/a,Yes,Dialioideae,Dial-Dup
Dialium,No,n/a,Yes,Dialioideae,Dial-Dup
Dicorynia,No,n/a,Yes,Dialioideae,Dial-Dup
Distemonanthus,No,n/a,Yes,Dialioideae,Dial-Dup
Eligmocarpus,No,n/a,Yes,Dialioideae,Dial-Dup
Kalappia,No,n/a,Yes,Dialioideae,Dial-Dup
Koompassia,No,n/a,Yes,Dialioideae,Dial-Dup
Labichea,No,n/a,Yes,Dialioideae,Dial-Dup
Martiodendron,No,n/a,Yes,Dialioideae,Dial-Dup
Mendoravia,No,n/a,Yes,Dialioideae,Dial-Dup
Petalostylis,No,n/a,Yes,Dialioideae,Dial-Dup
Poeppigia,No,n/a,Yes,Dialioideae,Dial-Dup
Storckiella,No,n/a,Yes,Dialioideae,Dial-Dup
Uittienia,No,n/a,Yes,Dialioideae,Dial-Dup
Zenia,No,n/a,Yes,Dialioideae,Dial-Dup
Duparquetia,No,n/a,Yes,Duparquetioideae,Non-legume
Zygocarpum,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Abobra,No,n/a,No,Non-legume,Non-legume
Acaena,No,n/a,No,Non-legume,Non-legume
Acanthocladus,No,n/a,No,Non-legume,Non-legume
Acanthosicyos,No,n/a,No,Non-legume,Non-legume
Achudemia,No,n/a,No,Non-legume,Non-legume
Actinostemma,No,n/a,No,Non-legume,Non-legume
Adenostoma,No,n/a,No,Non-legume,Non-legume
Adolphia,Yes,Actinorhizal,No,Non-legume,Non-legume
Agrimonia,No,n/a,No,Non-legume,Non-legume
Alchemilla,No,n/a,No,Non-legume,Non-legume
Alfaroa,No,n/a,No,Non-legume,Non-legume
Alfaropsis,No,n/a,No,Non-legume,Non-legume
Allocasuarina,Yes,Actinorhizal,No,Non-legume,Non-legume
Alnus,Yes,Actinorhizal,No,Non-legume,Non-legume
Alphitonia,No,n/a,No,Non-legume,Non-legume
Alsomitra,No,n/a,No,Non-legume,Non-legume
Alvimiantha,No,n/a,No,Non-legume,Non-legume
Amelanchier,No,n/a,No,Non-legume,Non-legume
Amelasorbus,No,n/a,No,Non-legume,Non-legume
Ampelocera,No,n/a,No,Non-legume,Non-legume
Ampelosicyos,No,n/a,No,Non-legume,Non-legume
Ampelosycios,No,n/a,No,Non-legume,Non-legume
Ampelozizyphus,No,n/a,No,Non-legume,Non-legume
Anacaona,No,n/a,No,Non-legume,Non-legume
Anangia,No,n/a,No,Non-legume,Non-legume
Ancylotropis,No,n/a,No,Non-legume,Non-legume
Anisophyllea,No,n/a,No,Non-legume,Non-legume
Antiaris,No,n/a,No,Non-legume,Non-legume
Antiaropsis,No,n/a,No,Non-legume,Non-legume
Aphananthe,No,n/a,No,Non-legume,Non-legume
Aphanes,No,n/a,No,Non-legume,Non-legume
Apodanthera,No,n/a,No,Non-legume,Non-legume
Apodanthes,No,n/a,No,Non-legume,Non-legume
Araracuara,No,n/a,No,Non-legume,Non-legume
Archiboehmeria,No,n/a,No,Non-legume,Non-legume
Aremonia,No,n/a,No,Non-legume,Non-legume
Armeniaca,No,n/a,No,Non-legume,Non-legume
Armenoprunus,No,n/a,No,Non-legume,Non-legume
Aronia,No,n/a,No,Non-legume,Non-legume
Artocarpus,No,n/a,No,Non-legume,Non-legume
Aruncus,No,n/a,No,Non-legume,Non-legume
Astrothalamus,No,n/a,No,Non-legume,Non-legume
Atroxima,No,n/a,No,Non-legume,Non-legume
Auerodendron,No,n/a,No,Non-legume,Non-legume
Australina,No,n/a,No,Non-legume,Non-legume
Austrobryonia,No,n/a,No,Non-legume,Non-legume
Badiera,No,n/a,No,Non-legume,Non-legume
Bagassa,No,n/a,No,Non-legume,Non-legume
Baijiania,No,n/a,No,Non-legume,Non-legume
Balgoya,No,n/a,No,Non-legume,Non-legume
Bambekea,No,n/a,No,Non-legume,Non-legume
Barbeya,No,n/a,No,Non-legume,Non-legume
Barnhartia,No,n/a,No,Non-legume,Non-legume
Bathiorhamnus,No,n/a,No,Non-legume,Non-legume
Batidea,No,n/a,No,Non-legume,Non-legume
Batocarpus,No,n/a,No,Non-legume,Non-legume
Bayabusua,No,n/a,No,Non-legume,Non-legume
Begonia,No,n/a,No,Non-legume,Non-legume
Bencomia,No,n/a,No,Non-legume,Non-legume
Benincasa,No,n/a,No,Non-legume,Non-legume
Berchemia,No,n/a,No,Non-legume,Non-legume
Berchemiella,No,n/a,No,Non-legume,Non-legume
Berlinianche,No,n/a,No,Non-legume,Non-legume
Betula,No,n/a,No,Non-legume,Non-legume
Biswarea,No,n/a,No,Non-legume,Non-legume
Blackallia,No,n/a,No,Non-legume,Non-legume
Bleekrodea,No,n/a,No,Non-legume,Non-legume
Boehmeria,No,n/a,No,Non-legume,Non-legume
Bolbostemma,No,n/a,No,Non-legume,Non-legume
Borneosicyos,No,n/a,No,Non-legume,Non-legume
Bosqueiopsis,No,n/a,No,Non-legume,Non-legume
Brandegea,No,n/a,No,Non-legume,Non-legume
Bredemeyera,No,n/a,No,Non-legume,Non-legume
Brosimum,No,n/a,No,Non-legume,Non-legume
Broussonetia,No,n/a,No,Non-legume,Non-legume
Bryonia,No,n/a,No,Non-legume,Non-legume
Cadellia,No,n/a,No,Non-legume,Non-legume
Calaunia,No,n/a,No,Non-legume,Non-legume
Calycophysum,No,n/a,No,Non-legume,Non-legume
Canacomyrica,No,n/a,No,Non-legume,Non-legume
Cannabis,No,n/a,No,Non-legume,Non-legume
Carpinus,No,n/a,No,Non-legume,Non-legume
Carpolobia,No,n/a,No,Non-legume,Non-legume
Carya,No,n/a,No,Non-legume,Non-legume
Castanea,No,n/a,No,Non-legume,Non-legume
Castanopsis,No,n/a,No,Non-legume,Non-legume
Castilla,No,n/a,No,Non-legume,Non-legume
Casuarina,Yes,Actinorhizal,No,Non-legume,Non-legume
Cayaponia,No,n/a,No,Non-legume,Non-legume
Ceanothus,Yes,Actinorhizal,No,Non-legume,Non-legume
Cecropia,No,n/a,No,Non-legume,Non-legume
Celtis,No,n/a,No,Non-legume,Non-legume
Cephalopentandra,No,n/a,No,Non-legume,Non-legume
Cerasiocarpum,No,n/a,No,Non-legume,Non-legume
Cerasus,No,n/a,No,Non-legume,Non-legume
Ceratosanthes,No,n/a,No,Non-legume,Non-legume
Cercocarpus,Yes,Actinorhizal,No,Non-legume,Non-legume
Cerothamnus,No,n/a,No,Non-legume,Non-legume
Ceuthostoma,Yes,Actinorhizal,No,Non-legume,Non-legume
Chaenomeles,No,n/a,No,Non-legume,Non-legume
Chaetachme,No,n/a,No,Non-legume,Non-legume
Chalema,No,n/a,No,Non-legume,Non-legume
Chamabainia,No,n/a,No,Non-legume,Non-legume
Chamaebatia,Yes,Actinorhizal,No,Non-legume,Non-legume
Chamaebatiaria,No,n/a,No,Non-legume,Non-legume
Chamaemeles,No,n/a,No,Non-legume,Non-legume
Chamaerhodos,No,n/a,No,Non-legume,Non-legume
Chaydaia,No,n/a,No,Non-legume,Non-legume
Chrysolepis,No,n/a,No,Non-legume,Non-legume
Cionosicyos,No,n/a,No,Non-legume,Non-legume
Cionosicys,No,n/a,No,Non-legume,Non-legume
Citrullus,No,n/a,No,Non-legume,Non-legume
Clarisia,No,n/a,No,Non-legume,Non-legume
Cliffortia,No,n/a,No,Non-legume,Non-legume
Coccinia,No,n/a,No,Non-legume,Non-legume
Cogniauxia,No,n/a,No,Non-legume,Non-legume
Coleogyne,No,n/a,No,Non-legume,Non-legume
Colletia,Yes,Actinorhizal,No,Non-legume,Non-legume
Colocynthis,No,n/a,No,Non-legume,Non-legume
Colubrina,No,n/a,No,Non-legume,Non-legume
Coluria,No,n/a,No,Non-legume,Non-legume
Comarum,No,n/a,No,Non-legume,Non-legume
Combretocarpus,No,n/a,No,Non-legume,Non-legume
Comesperma,No,n/a,No,Non-legume,Non-legume
Comptonia,Yes,Actinorhizal,No,Non-legume,Non-legume
Condalia,No,n/a,No,Non-legume,Non-legume
Corallocarpus,No,n/a,No,Non-legume,Non-legume
Coriaria,Yes,Actinorhizal,No,Non-legume,Non-legume
Cormonema,No,n/a,No,Non-legume,Non-legume
Corylus,No,n/a,No,Non-legume,Non-legume
Corynocarpus,No,n/a,No,Non-legume,Non-legume
Cotoneaster,No,n/a,No,Non-legume,Non-legume
Coussapoa,No,n/a,No,Non-legume,Non-legume
Cowania,Yes,Actinorhizal,No,Non-legume,Non-legume
Crataegus,No,n/a,No,Non-legume,Non-legume
Crataemespilus,No,n/a,No,Non-legume,Non-legume
Cremastopus,No,n/a,No,Non-legume,Non-legume
Crumenaria,No,n/a,No,Non-legume,Non-legume
Cryptandra,No,n/a,No,Non-legume,Non-legume
Ctenolepis,No,n/a,No,Non-legume,Non-legume
Cucumella,No,n/a,No,Non-legume,Non-legume
Cucumeropsis,No,n/a,No,Non-legume,Non-legume
Cucumis,No,n/a,No,Non-legume,Non-legume
Cucurbita,No,n/a,No,Non-legume,Non-legume
Cucurbitella,No,n/a,No,Non-legume,Non-legume
Cyclanthera,No,n/a,No,Non-legume,Non-legume
Cyclantheropsis,No,n/a,No,Non-legume,Non-legume
Cyclobalanopsis,No,n/a,No,Non-legume,Non-legume
Cyclocarya,No,n/a,No,Non-legume,Non-legume
Cydonia,No,n/a,No,Non-legume,Non-legume
Cylactis,No,n/a,No,Non-legume,Non-legume
Cypholophus,No,n/a,No,Non-legume,Non-legume
Dactyliandra,No,n/a,No,Non-legume,Non-legume
Dasiphora,No,n/a,No,Non-legume,Non-legume
Datisca,Yes,Actinorhizal,No,Non-legume,Non-legume
Debregeasia,No,n/a,No,Non-legume,Non-legume
Dendriopoterium,No,n/a,No,Non-legume,Non-legume
Dendrocnide,No,n/a,No,Non-legume,Non-legume
Dendrosicyos,No,n/a,No,Non-legume,Non-legume
Dichotomanthes,No,n/a,No,Non-legume,Non-legume
Diclidanthera,No,n/a,No,Non-legume,Non-legume
Didymodoxa,No,n/a,No,Non-legume,Non-legume
Dieterlea,No,n/a,No,Non-legume,Non-legume
Diplocyclos,No,n/a,No,Non-legume,Non-legume
Dirachma,No,n/a,No,Non-legume,Non-legume
Discaria,Yes,Actinorhizal,No,Non-legume,Non-legume
Discocnide,No,n/a,No,Non-legume,Non-legume
Docynia,No,n/a,No,Non-legume,Non-legume
Doerpfeldia,No,n/a,No,Non-legume,Non-legume
Dorstenia,No,n/a,No,Non-legume,Non-legume
Doyerea,No,n/a,No,Non-legume,Non-legume
Droguetia,No,n/a,No,Non-legume,Non-legume
Dryas,Yes,Actinorhizal,No,Non-legume,Non-legume
Drymocallis,No,n/a,No,Non-legume,Non-legume
Duchesnea,No,n/a,No,Non-legume,Non-legume
Ecballium,No,n/a,No,Non-legume,Non-legume
Echinocystis,No,n/a,No,Non-legume,Non-legume
Echinopepon,No,n/a,No,Non-legume,Non-legume
Edgaria,No,n/a,No,Non-legume,Non-legume
Elaeagnus,Yes,Actinorhizal,No,Non-legume,Non-legume
Elateriopsis,No,n/a,No,Non-legume,Non-legume
Elatostema,No,n/a,No,Non-legume,Non-legume
Emmenosperma,No,n/a,No,Non-legume,Non-legume
Engelhardia,No,n/a,No,Non-legume,Non-legume
Engelhardtia,No,n/a,No,Non-legume,Non-legume
Epirixanthes,No,n/a,No,Non-legume,Non-legume
